Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.01179,0.00884,0.01426,0.02461,0.04266,0.06855
133,0.0124,0.00909,0.01466,0.02529,0.04364,0.07041
136,0.01247,0.00934,0.01506,0.02598,0.04482,0.07232
140,0.01274,0.00976,0.0158,0.02715,0.04684,0.07502
144,0.01306,0.01036,0.0166,0.02852,0.04898,0.07816
148,0.01364,0.01104,0.01759,0.03008,0.05142,0.08239
152,0.01414,0.01169,0.01877,0.03184,0.05442,0.08654
156,0.01531,0.01274,0.02005,0.03398,0.05755,0.09082
160,0.01813,0.01348,0.02137,0.03594,0.06029,0.09512
164,0.02658,0.01458,0.02284,0.03809,0.06359,0.0999
168,0.02268,0.01603,0.02468,0.04062,0.06686,0.10449
172,0.03486,0.0173,0.02619,0.04258,0.06973,0.10754
176,0.04039,0.01844,0.02782,0.04453,0.07187,0.11009
180,0.0277,0.01999,0.02937,0.04609,0.07365,0.11159
184,0.02816,0.02151,0.03083,0.04746,0.07451,0.11214
189,0.02711,0.02359,0.03372,0.05117,0.07973,0.11885
194,0.02993,0.02573,0.0362,0.05488,0.08463,0.12544
199,0.0525,0.02686,0.03787,0.05684,0.08719,0.12867
204,0.03855,0.02768,0.03867,0.05762,0.08816,0.12998
209,0.03362,0.02677,0.03774,0.05664,0.08689,0.12823
214,0.02649,0.02622,0.03696,0.05547,0.08532,0.12602
219,0.0259,0.02527,0.03578,0.05391,0.08313,0.12289
224,0.03314,0.02481,0.03514,0.05293,0.08141,0.12087
229,0.04359,0.02426,0.03436,0.05176,0.07982,0.1183
235,0.08969,0.02287,0.03269,0.04961,0.0769,0.11417
241,0.09666,0.02188,0.03127,0.04746,0.07395,0.11023
247,0.06751,0.02143,0.03043,0.04648,0.07224,0.10761
253,0.04281,0.0208,0.02973,0.04512,0.07011,0.1047
259,0.04074,0.02035,0.02908,0.04414,0.06877,0.10303
265,0.04312,0.0199,0.02844,0.04316,0.06742,0.10084
271,0.04557,0.0197,0.02785,0.04238,0.06587,0.09836
278,0.07821,0.019,0.02715,0.04121,0.06421,0.09619
285,0.05657,0.01879,0.02674,0.04043,0.06299,0.09437
292,0.04192,0.01787,0.02538,0.03877,0.06056,0.09057
299,0.03478,0.01718,0.02452,0.0376,0.05888,0.0879
306,0.03215,0.01664,0.02385,0.03672,0.0575,0.08585
313,0.02999,0.01602,0.02297,0.03535,0.05564,0.0836
321,0.03641,0.01549,0.02221,0.03418,0.0538,0.08083
329,0.02956,0.01483,0.02136,0.03301,0.05209,0.07887
337,0.02736,0.01439,0.02073,0.03203,0.05067,0.07659
345,0.03042,0.01429,0.02049,0.03154,0.04977,0.07465
353,0.0248,0.01356,0.01953,0.03018,0.04774,0.07216
362,0.04675,0.01256,0.01836,0.02871,0.04565,0.06941
371,0.04115,0.01201,0.01755,0.02744,0.04385,0.06705
380,0.02743,0.01152,0.01692,0.02656,0.04244,0.0649
389,0.02228,0.01112,0.01642,0.02588,0.04135,0.06323
399,0.01933,0.01107,0.01618,0.02529,0.04042,0.0618
409,0.01513,0.01081,0.0158,0.02471,0.03948,0.06009
419,0.0131,0.01042,0.01514,0.02383,0.03808,0.05822
429,0.01956,0.00982,0.01445,0.02285,0.03688,0.0565
440,0.0356,0.00927,0.01383,0.02197,0.03546,0.05481
451,0.03031,0.00915,0.01358,0.02148,0.03467,0.05335
462,0.01965,0.00902,0.01323,0.021,0.03388,0.05191
474,0.02029,0.00873,0.0128,0.02031,0.03278,0.05067
486,0.01529,0.00808,0.01213,0.01934,0.03151,0.04878
498,0.0168,0.00788,0.01173,0.01885,0.03072,0.04755
511,0.01496,0.00779,0.01162,0.01846,0.03008,0.04656
524,0.01337,0.00771,0.01137,0.01812,0.02938,0.04525
537,0.01039,0.00744,0.01102,0.01763,0.02873,0.04447
551,0.01132,0.00717,0.01062,0.01699,0.02769,0.04287
565,0.01146,0.007,0.01038,0.0166,0.02706,0.04188
580,0.01748,0.00678,0.01004,0.01606,0.02618,0.04088
595,0.02058,0.00635,0.00951,0.01533,0.02523,0.03944
611,0.01355,0.00603,0.00913,0.01484,0.02455,0.03838
627,0.00915,0.00593,0.00893,0.01445,0.0239,0.03753
644,0.01034,0.00569,0.00862,0.01401,0.02317,0.03639
661,0.01342,0.00561,0.00844,0.01367,0.02272,0.03553
