Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.14435,0.05415,0.07384,0.10664,0.15765,0.22469
133,0.17417,0.04443,0.06058,0.0875,0.129,0.18415
136,0.1932,0.04106,0.05599,0.08086,0.11889,0.16899
139,0.17563,0.03898,0.05315,0.07676,0.11286,0.16042
142,0.06529,0.0369,0.05031,0.07266,0.10683,0.15185
145,0.07525,0.03514,0.04811,0.06973,0.1028,0.14589
148,0.07069,0.03461,0.0472,0.06816,0.09995,0.14188
151,0.05327,0.03333,0.04544,0.06562,0.09675,0.13731
154,0.05079,0.03218,0.04406,0.06387,0.09416,0.13363
157,0.07083,0.03159,0.04326,0.0627,0.09243,0.13118
160,0.07904,0.03076,0.0423,0.06152,0.09071,0.12873
164,0.09425,0.03144,0.04287,0.06191,0.09079,0.12925
168,0.09696,0.03248,0.04411,0.06348,0.09283,0.13157
172,0.10906,0.03293,0.0449,0.06484,0.09508,0.13457
176,0.13566,0.03452,0.04706,0.06797,0.09994,0.14122
180,0.12607,0.04027,0.05521,0.0793,0.11565,0.16319
184,0.07051,0.04897,0.0665,0.0957,0.13881,0.1941
188,0.06682,0.0566,0.07695,0.10977,0.15877,0.22098
192,0.06169,0.06686,0.09016,0.12773,0.18323,0.25296
196,0.08607,0.07107,0.09545,0.13477,0.19332,0.26689
200,0.09212,0.07292,0.09794,0.13828,0.19726,0.27225
204,0.08983,0.07218,0.09785,0.13789,0.1978,0.27221
209,0.17314,0.07107,0.09545,0.13477,0.19278,0.26569
214,0.08049,0.06839,0.09186,0.12969,0.18552,0.25649
219,0.06149,0.06441,0.08686,0.12305,0.17651,0.24523
224,0.08404,0.06027,0.08161,0.11602,0.16735,0.23182
229,0.10273,0.05868,0.07913,0.11211,0.16127,0.22372
234,0.11385,0.05582,0.07488,0.10664,0.15297,0.21253
239,0.10698,0.05217,0.07093,0.10117,0.14594,0.20342
244,0.094,0.04837,0.06604,0.09453,0.13749,0.19197
250,0.07114,0.04733,0.06435,0.0918,0.13241,0.18457
256,0.06557,0.04471,0.06079,0.08672,0.12578,0.17588
262,0.09824,0.04351,0.05915,0.08438,0.12238,0.17113
268,0.12233,0.04189,0.05696,0.08125,0.11785,0.16479
274,0.1149,0.03868,0.05303,0.07617,0.11109,0.15582
