Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.02563,0.02265,0.03493,0.05684,0.09172,0.14051
140,0.02696,0.02381,0.03673,0.05977,0.09645,0.14709
150,0.02894,0.02552,0.03937,0.06406,0.1039,0.15787
160,0.03244,0.02833,0.0437,0.07109,0.11473,0.17576
170,0.03696,0.033,0.0509,0.08281,0.13431,0.20408
180,0.03472,0.0332,0.05201,0.08672,0.1441,0.22165
190,0.02075,0.02404,0.03954,0.06914,0.1204,0.1927
200,0.02557,0.0276,0.0455,0.07852,0.13548,0.21536
210,0.03652,0.0313,0.05092,0.08711,0.14753,0.23096
220,0.02536,0.03398,0.0539,0.09062,0.15059,0.23164
230,0.0469,0.03616,0.05644,0.09258,0.15088,0.22845
240,0.04805,0.03646,0.05635,0.09062,0.14553,0.21767
250,0.047,0.03755,0.05675,0.08984,0.14177,0.21057
260,0.07321,0.03793,0.05681,0.08828,0.1379,0.20266
270,0.12503,0.03811,0.05619,0.08633,0.13347,0.19497
280,0.12251,0.0367,0.05385,0.08242,0.12677,0.18435
290,0.07363,0.03558,0.05168,0.07852,0.12014,0.17435
300,0.08827,0.03401,0.04916,0.07441,0.11327,0.16404
310,0.0861,0.03259,0.04688,0.0707,0.10706,0.1547
331,0.03549,0.028,0.04028,0.06074,0.09246,0.1339
352,0.06662,0.02386,0.03432,0.05176,0.07878,0.1144
373,0.04667,0.02107,0.03031,0.0457,0.06957,0.10102
395,0.02754,0.0195,0.02779,0.0416,0.06332,0.09195
417,0.02159,0.0179,0.02551,0.03818,0.05812,0.08462
439,0.04461,0.01625,0.02327,0.03496,0.05322,0.07769
462,0.03699,0.01449,0.02085,0.03145,0.04837,0.07089
485,0.02702,0.01308,0.01878,0.02861,0.04424,0.06512
508,0.02486,0.0122,0.01744,0.02646,0.04092,0.06039
532,0.01362,0.0113,0.01615,0.02451,0.03799,0.05641
556,0.01305,0.01022,0.01475,0.02256,0.03515,0.05226
580,0.01512,0.00951,0.01373,0.021,0.03271,0.04901
605,0.0147,0.00881,0.01263,0.01943,0.03051,0.04592
630,0.00927,0.00825,0.01183,0.01821,0.02859,0.04303
656,0.01646,0.00752,0.01089,0.01689,0.02673,0.0404
683,0.0113,0.00709,0.01026,0.01592,0.02525,0.03845
710,0.01306,0.00643,0.0094,0.0147,0.02348,0.03608
738,0.01071,0.00595,0.00874,0.01372,0.02214,0.03423
766,0.00704,0.00565,0.00825,0.01304,0.02104,0.03252
795,0.00643,0.0052,0.00772,0.01221,0.01989,0.03093
825,0.00627,0.0048,0.00714,0.01147,0.01888,0.02951
856,0.0062,0.00459,0.00684,0.01099,0.01808,0.02826
888,0.00594,0.00443,0.00656,0.0105,0.01728,0.02723
921,0.00631,0.00414,0.00621,0.01001,0.01663,0.02623
954,0.00878,0.00394,0.0059,0.00952,0.01597,0.0254
988,0.00755,0.00379,0.00566,0.00923,0.01533,0.02458
1024,0.00642,0.00359,0.00544,0.00884,0.01483,0.02377
1061,0.00628,0.00338,0.0051,0.0084,0.01422,0.02297
1099,0.00746,0.00314,0.0048,0.00796,0.01361,0.02213
1138,0.00896,0.00298,0.00457,0.00762,0.01314,0.02144
1179,0.00706,0.00285,0.00441,0.00737,0.01278,0.02091
1221,0.00563,0.00271,0.00421,0.00708,0.01233,0.02038
1265,0.00574,0.00256,0.004,0.00684,0.01201,0.0199
1310,0.00536,0.00248,0.0039,0.00669,0.01176,0.01954
1357,0.00514,0.00241,0.00378,0.00649,0.01152,0.0193
1406,0.00509,0.00235,0.00371,0.0064,0.01134,0.01901
1457,0.00506,0.00231,0.00365,0.0063,0.01117,0.01872
1500,0.00503,0.00221,0.00354,0.00615,0.01101,0.01853
2000,0.005,0.00185,0.00308,0.00552,0.01022,0.01673
2500,0.00513,0.00181,0.00303,0.00552,0.01022,0.01673
3000,0.00541,0.0018,0.00302,0.00562,0.01063,0.01702
