BSM Higgs cross section and associated uncertainties at 13 TeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Cross Section,,,,,,,,,,,,,,,,,,,,
ggF (N3LO),,,,,,,ggF (NNLO+NNLL),,,,,,,,,VBF,,,,,,,,,WH,,,,,,,,,,,ZH,,,,,,,,,,ttH,,,,,,,,,bbH,,,,,,,,,tH (t-ch),,,,,,,,,,,tH (s-ch),,,,,,,,,,,ggF+VBF+WH+ZH+ttH+bbH,,,,W-H,,,,,,,,,W+H,,,,,,,
MH,Cross,Uncertainty,,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,W+H,W-H,,MH,Cross,Uncertainty,,,,,1+δEW,gg→ZH,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,MH,Cross,Uncertainty,,,,,1+δEW,tH,tbarH,,Cross,,,,MH,Cross,Uncertainty,,,,,1+δEW,,MH,Cross,Uncertainty,,,,,1+δEW
,Section,Theory,,,PDF+αs,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,(box diag.),,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,,Section,Scale,,PDF+αs,PDF,αs,,σ,σ,,Section,,,,,Section,Scale,,PDF+αs,PDF,αs,,,,Section,Scale,,PDF+αs,PDF,αs,
[GeV],[pb],pos [%],neg [%],Gauss [%],[%],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,[pb],[pb],,[pb],,,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],,,[GeV],[pb],pos [%],neg [%],[%],[%],[%],
10.00 ,1.900E+03,+17.8,-21.3 ,±12.3,±12.2,,10.00,6.996E+03,+49.9,-38.9,±8.0,±7.5,±2.7,0.0000,,10.00,1.121E+01,+1.0,-0.7,±2.0,±1.8,±0.9,,,10.00,2.392E+02,+1.1,-2.0,±2.2,,,,1.390E+02,1.002E+02,,10.00,1.064E+02,+1.3,-1.8,±2.2,,,,,,10.00,2.669E+01,+7.8,-9.9,±3.2,±2.6,±1.8,0.980,,10.00,1.138E+02,+91.9,-60.4,,,,,,10.00,1.848E+00,+8.2,-12.5,±2.6,±2.4,±0.9,,1.174E+00,6.740E-01,,10.00,1.041E-01,+2.4,-1.9,±1.9,±1.8,±0.5,,6.490E-02,3.930E-02,,,,,,10.00,1.002E+02,1.2,-2.0,2.1,,,,,10.00,1.390E+02,1.1,-2.0,2.2,,,
15.00 ,1.203E+03,+11.6,-15.0 ,±8.7,±6.7,,15.00,4.275E+03,+34.8,-29.2,±5.9,±5.1,±2.9,0.0000,,15.00,1.074E+01,+1.0,-0.6,±2.0,±1.8,±0.8,,,15.00,1.487E+02,+0.7,-2.0,±2.2,,,,8.671E+01,6.201E+01,,15.00,6.773E+01,+0.9,-1.6,±2.1,,,,,,30.00,8.867E+00,+7.2,-9.7,±3.3,±2.7,±1.8,1.003,,15.00,6.297E+01,+66.3,-52.8,,,,,,15.00,1.274E+00,+8.5,-13.0,±2.6,±2.4,±0.9,,8.130E-01,4.620E-01,,15.00,7.410E-02,+2.4,-1.9,±1.9,±1.8,±0.5,,4.624E-02,2.779E-02,,,,,,15.00,6.201E+01,0.9,-1.9,2.1,,,,,15.00,8.671E+01,0.6,-2.0,2.2,,,
20.00 ,8.458E+02,+8.8,-11.8 ,±6.8,±5.4,,20.00,2.085E+03,+25.7,-22.5,±4.8,±3.7,±3.0,0.0000,,20.00,1.025E+01,+0.9,-0.6,±2.0,±1.8,±0.8,,,20.00,9.931E+01,+1.2,-1.5,±2.2,,,,5.801E+01,4.130E+01,,20.00,4.639E+01,+0.8,-1.5,±2.1,,,,,,70.00,2.113E+00,+6.4,-9.4,±3.4,±2.8,±1.9,1.018,,20.00,4.011E+01,+53.4,-47.4,,,,,,20.00,9.350E-01,+8.6,-13.2,±2.7,±2.5,±0.9,,5.998E-01,3.368E-01,,20.00,5.568E-02,+2.3,-1.9,±1.9,±1.9,±0.5,,3.489E-02,2.080E-02,,,,,,20.00,4.130E+01,0.9,-1.6,2.1,,,,,20.00,5.801E+01,1.4,-1.5,2.2,,,
25.00 ,6.322E+02,+7.1,-10.0 ,±5.8,±4.9,,25.00,1.146E+03,+20.8,-18.2,±4.3,±3.1,±3.0,0.0000,,25.00,9.769E+00,+0.8,-0.6,±2.0,±1.8,±0.8,,,25.00,7.006E+01,+1.0,-1.7,±2.1,,,,4.109E+01,2.897E+01,,25.00,3.336E+01,+0.8,-1.8,±2.1,,,,,,100.00,9.146E-01,+6.1,-9.3,±3.5,±2.9,±1.9,1.020,,25.00,2.729E+01,+44.4,-43.4,,,,,,30.00,5.613E-01,+8.9,-13.1,±2.7,±2.6,±1.0,,3.616E-01,1.993E-01,,30.00,3.487E-02,+2.3,-1.8,±1.9,±1.9,±0.5,,2.195E-02,1.290E-02,,,,,,25.00,2.897E+01,1.2,-1.6,2.1,,,,,25.00,4.109E+01,0.8,-1.8,2.1,,,
30.00 ,4.923E+02,+6.1,-8.8 ,±5.1,±4.6,,30.00,7.103E+02,+18.5,-15.6,±4.2,±2.8,±3.1,0.0000,,30.00,9.299E+00,+0.9,-0.5,±2.0,±1.8,±0.8,,,30.00,5.108E+01,+0.8,-1.6,±2.1,,,,3.000E+01,2.108E+01,,30.00,2.467E+01,+0.5,-1.2,±2.1,,,,,,120.00,5.598E-01,+5.9,-9.3,±3.6,±3.0,±2.0,1.018,,30.00,1.931E+01,+39.8,-40.3,,,,,,45.00,3.095E-01,+9.0,-12.4,±2.9,±2.7,±1.0,,2.013E-01,1.081E-01,,45.00,1.980E-02,+2.2,-1.8,±2.0,±1.9,±0.4,,1.258E-02,7.240E-03,,,,,,30.00,2.108E+01,0.8,-1.7,2.1,,,,,30.00,3.000E+01,0.8,-1.5,2.1,,,
35.00 ,3.949E+02,+5.5,-7.8 ,±4.5,±4.3,,35.00,4.846E+02,+16.3,-13.9,±4.0,±2.6,±3.1,0.0000,,35.00,8.847E+00,+0.8,-0.5,±1.9,±1.8,±0.8,,,35.00,3.822E+01,+0.7,-1.4,±2.1,,,,2.250E+01,1.572E+01,,35.00,1.879E+01,+0.5,-1.2,±2.1,,,,,,125.00,4.987E-01,+5.8,-9.2,±3.6,±3.0,±2.0,1.017,,35.00,1.388E+01,+35.3,-37.6,,,,,,70.00,1.542E-01,+8.5,-10.6,±3.2,±3.0,±1.0,,1.013E-01,5.290E-02,,70.00,9.420E-03,+2.2,-1.6,±2.0,±2.0,±0.4,,6.056E-03,3.386E-03,,,,,,35.00,1.572E+01,0.5,-1.7,2.1,,,,,35.00,2.250E+01,0.9,-1.2,2.1,,,
40.00 ,3.240E+02,+4.8,-7.3 ,±4.2,±4.2,,40.00,3.555E+02,+14.8,-12.9,±3.9,±2.4,±3.1,0.0000,,40.00,8.419E+00,+0.8,-0.5,±1.9,±1.8,±0.7,,,40.00,2.925E+01,+0.6,-1.3,±2.0,,,,1.730E+01,1.195E+01,,40.00,1.460E+01,+0.6,-1.1,±2.1,,,,,,130.00,4.465E-01,+5.8,-9.3,±3.6,±3.0,±2.0,1.017,,40.00,1.029E+01,+34.1,-39.8,,,,,,100.00,9.414E-02,+7.5,-13.0,±3.6,±3.4,±1.1,,6.211E-02,3.216E-02,,100.00,4.678E-03,+2.4,-1.7,±2.1,±2.1,±0.3,,3.032E-03,1.642E-03,,,,,,40.00,1.195E+01,0.8,-1.1,2.1,,,,,40.00,1.730E+01,0.5,-1.4,2.0,,,
45.00 ,2.706E+02,+4.3,-6.7 ,±3.9,±4.0,,45.00,2.751E+02,+13.5,-12.1,±3.8,±2.3,±3.0,0.0000,,45.00,8.011E+00,+0.8,-0.4,±1.9,±1.8,±0.7,,,45.00,2.278E+01,+0.5,-1.3,±2.0,,,,1.350E+01,9.282E+00,,45.00,1.156E+01,+0.4,-1.2,±2.0,,,,,,150.00,2.925E-01,+5.8,-9.3,±3.7,±3.1,±2.0,1.008,,45.00,7.846E+00,+32.9,-40.9,,,,,,150.00,6.389E-02,+5.8,-16.4,±3.9,±3.7,±1.2,,4.185E-02,2.190E-02,,150.00,1.888E-03,+2.4,-1.8,±2.3,±2.3,±0.2,,1.245E-03,6.420E-04,,,,,,45.00,9.282E+00,0.9,-1.1,2.1,,,,,45.00,1.350E+01,0.2,-1.4,2.0,,,
50.00 ,2.294E+02,+3.7,-6.0 ,±3.5,±4.0,,50.00,2.214E+02,+12.5,-11.6,±3.7,±2.2,±3.0,0.0000,,50.00,7.627E+00,+0.8,-0.4,±1.9,±1.8,±0.7,,,50.00,1.800E+01,+0.7,-1.2,±1.9,,,,1.069E+01,7.311E+00,,50.00,9.264E+00,+0.6,-1.1,±1.9,,,,,,200.00,1.222E-01,+6.0,-9.6,±4.0,±3.5,±2.1,0.999,,50.00,6.102E+00,+31.2,-40.2,,,,,,200.00,5.191E-02,+4.9,-18.3,±4.0,±3.8,±1.3,,3.409E-02,1.787E-02,,200.00,9.290E-04,+2.4,-2.0,±2.5,±2.5,±0.1,,6.220E-04,3.070E-04,,,,,,50.00,7.311E+00,0.8,-1.1,2.0,,,,,50.00,1.069E+01,0.6,-1.2,1.9,,,
55.00 ,1.968E+02,+3.5,-5.7 ,±3.3,±3.8,,55.00,1.835E+02,+11.7,-11.1,±3.7,±2.2,±2.9,0.0000,,55.00,7.264E+00,+0.7,-0.4,±1.9,±1.8,±0.7,,,55.00,1.443E+01,+0.7,-1.2,±1.9,,,,8.581E+00,5.848E+00,,55.00,7.527E+00,+0.8,-1.1,±1.9,,,,,,250.00,6.398E-02,+6.5,-10.0,±4.4,±3.9,±2.1,0.991,,55.00,4.849E+00,+29.4,-39.0,,,,,,300.00,3.743E-02,+3.9,-20.4,±4.3,±4.1,±1.3,,2.470E-02,1.275E-02,,300.00,3.140E-04,+2.3,-2.1,±2.8,±2.8,±0.0,,2.150E-04,9.900E-05,,,,,,55.00,5.848E+00,0.6,-1.2,2.0,,,,,55.00,8.581E+00,0.7,-1.2,1.9,,,
60.00 ,1.706E+02,+3.2,-5.4 ,±3.1,±3.7,,60.00,1.555E+02,+11.1,-10.7,±3.6,±2.1,±2.9,0.0000,,60.00,6.924E+00,+0.7,-0.4,±1.9,±1.8,±0.7,,,60.00,1.170E+01,+0.6,-1.2,±1.9,,,,6.971E+00,4.727E+00,,60.00,6.183E+00,+0.8,-1.3,±1.8,,,,,,300.00,3.948E-02,+7.1,-10.6,±4.9,±4.4,±2.2,0.989,,60.00,3.914E+00,+28.5,-37.5,,,,,,450.00,2.301E-02,+3.1,-22.6,±4.6,±4.4,±1.4,,1.535E-02,7.640E-03,,450.00,9.390E-05,+2.1,-2.1,±3.3,±3.3,±0.2,,6.610E-05,2.790E-05,,,,,,60.00,4.727E+00,0.5,-1.3,2.0,,,,,60.00,6.971E+00,0.7,-1.2,1.9,,,
65.00 ,1.492E+02,+3.1,-5.2 ,±3.0,±3.7,,65.00,1.341E+02,+10.5,-10.3,±3.5,±2.1,±2.9,0.0000,,65.00,6.603E+00,+0.7,-0.4,±1.9,±1.8,±0.7,,,65.00,9.577E+00,+0.5,-1.0,±1.9,,,,5.725E+00,3.852E+00,,65.00,5.119E+00,+0.9,-1.0,±1.8,,,,,,400.00,1.985E-02,+7.9,-11.4,±5.8,±5.3,±2.2,0.995,,65.00,3.189E+00,+27.1,-36.1,,,,,,700.00,1.041E-02,+2.4,-25.5,±5.3,±5.1,±1.5,,7.090E-03,3.310E-03,,700.00,2.130E-05,+2.0,-2.4,±4.1,±4.1,±0.5,,1.540E-05,5.800E-06,,,,,,65.00,3.852E+00,0.5,-0.9,2.0,,,,,65.00,5.725E+00,0.5,-1.1,1.9,,,
70.00 ,1.315E+02,+2.8,-4.9 ,±2.8,±3.6,,70.00,1.172E+02,+10.1,-10.0,±3.5,±2.0,±2.8,0.0000,,70.00,6.301E+00,+0.7,-0.4,±1.9,±1.8,±0.7,,,70.00,7.920E+00,+0.3,-1.0,±1.9,,,,4.745E+00,3.175E+00,,70.00,4.279E+00,+1.4,-1.2,±1.8,,,,,,500.00,1.162E-02,+8.7,-12.0,±6.5,±6.0,±2.3,1.039,,70.00,2.633E+00,+26.2,-34.5,,,,,,1000.00,4.270E-03,+2.1,-28.3,±6.3,±6.0,±1.6,,2.970E-03,1.300E-03,,1000.00,5.170E-06,+2.1,-2.8,±5.0,±5.0,±0.7,,3.840E-06,1.330E-06,,,,,,70.00,3.175E+00,0.3,-0.9,1.9,,,,,70.00,4.745E+00,0.3,-1.0,1.9,,,
75.00 ,1.166E+02,+2.6,-4.7 ,±2.7,±3.6,,75.00,1.036E+02,+9.7,-9.7,±3.4,±2.0,±2.8,0.0000,,75.00,6.016E+00,+0.6,-0.3,±1.9,±1.8,±0.7,,,75.00,6.591E+00,+0.4,-0.9,±1.9,,,,3.955E+00,2.636E+00,,75.00,3.611E+00,+1.5,-1.3,±1.7,,,,,,750.00,3.650E-03,+9.9,-13.0,±8.0,±7.6,±2.6,1.132,,75.00,2.194E+00,+27.2,-33.1,,,,,,1500.00,1.100E-03,+2.1,-32.4,±8.2,±7.9,±2.1,,7.800E-04,3.100E-04,,1500.00,7.140E-07,+2.5,-3.3,±6.3,±6.2,±1.0,,5.420E-07,1.710E-07,,,,,,75.00,2.636E+00,0.4,-0.9,1.9,,,,,75.00,3.955E+00,0.4,-0.9,1.9,,,
